"""p""","""sumP"""
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":737,""class"":""business"",""idf"":735},{""name"":""CRP""}]",1283.25
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":746,""class"":""firstClass"",""idf"":743},{""name"":""CRP""}]",1967.9999999999998
"[{""name"":""LAX""},{""idt"":545,""class"":""business"",""idf"":543},{""name"":""EWR""}]",2543
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":721,""class"":""business"",""idf"":719},{""name"":""CRP""}]",1925.3999999999999
"[{""name"":""LAX""},{""idt"":920,""class"":""economy"",""idf"":919},{""name"":""ABQ""}]",530.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":713,""class"":""business"",""idf"":711},{""name"":""CRP""}]",1640
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":733,""class"":""business"",""idf"":731},{""name"":""CRP""}]",1642
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":724,""class"":""economy"",""idf"":723},{""name"":""CRP""}]",1586.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":728,""class"":""economy"",""idf"":727},{""name"":""CRP""}]",1230
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":449,""class"":""business"",""idf"":447},{""name"":""MFE""}]",1760
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":450,""class"":""firstClass"",""idf"":447},{""name"":""MFE""}]",1469.85
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":716,""class"":""economy"",""idf"":715},{""name"":""CRP""}]",1872.8999999999999
"[{""name"":""LAX""},{""idt"":544,""class"":""economy"",""idf"":543},{""name"":""EWR""},{""name"":""EWR""},{""idt"":148,""class"":""economy"",""idf"":147},{""name"":""ORD""}]",2475
"[{""name"":""LAX""},{""idt"":1009,""class"":""business"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1528.2
